title,question,answer,type,text,som_bmu,cluster_label
Elsa Triolet,What literary movement was Louis Aragon a leading voice of in France?,The surrealist movement,entity,What literary movement was Louis Aragon a leading voice of in France? The surrealist movement,"(4, 5)",1
Elsa Triolet,Who were the co-founders of the surrealist review Littérature alongside Louis Aragon?,André Breton and Philippe Soupault,entity,Who were the co-founders of the surrealist review Littérature alongside Louis Aragon? André Breton and Philippe Soupault,"(4, 5)",1
Giovanni Battista Casti,Where was Pietro Metastasio born?,Rome,domain,Where was Pietro Metastasio born? Rome,"(5, 1)",4
Giovanni Battista Casti,What was the name of the Countess who became Pietro Metastasio's close friend and companion in Vienna?,Countess Althann,domain,What was the name of the Countess who became Pietro Metastasio's close friend and companion in Vienna? Countess Althann,"(2, 4)",3
Elsa Triolet,How did Pablo Neruda describe Lilya Brik?,The muse of Russian avant-garde,entity,How did Pablo Neruda describe Lilya Brik? The muse of Russian avant-garde,"(1, 3)",3
Elsa Triolet,What was the name of the film for which Marguerite Duras earned a nomination for Best Original Screenplay at the Academy Awards?,Hiroshima mon amour,domain,What was the name of the film for which Marguerite Duras earned a nomination for Best Original Screenplay at the Academy Awards? Hiroshima mon amour,"(1, 5)",3
Adrienne Monnier,In what year was Creatures in an Alphabet published?,1982,domain,In what year was Creatures in an Alphabet published? 1982,"(1, 4)",3
Giovanni Battista Casti,Who were Alessandro Scarlatti's children who were also composers?,Domenico Scarlatti and Pietro Filippo Scarlatti,domain,Who were Alessandro Scarlatti's children who were also composers? Domenico Scarlatti and Pietro Filippo Scarlatti,"(5, 1)",4
"Philip Stanhope, 5th Earl Stanhope",What was Thomas Babington Macaulay's role in determining India's education policy?,He played a substantial role in introducing Western institutional education to India,domain,What was Thomas Babington Macaulay's role in determining India's education policy? He played a substantial role in introducing Western institutional education to India,"(4, 0)",2
Heinz Erhardt,What was the name of the German film version released in 2021 with Otto Waalkes in the title role?,Catweazle,domain,What was the name of the German film version released in 2021 with Otto Waalkes in the title role? Catweazle,"(0, 5)",3
Adrienne Monnier,When was T.S. Eliot born?,26 September 1888,domain,When was T.S. Eliot born? 26 September 1888,"(3, 0)",2
Paul Gerhardt,What was the name of Telemann's first wife?,Amalie Louise Juliane Eberlin,domain,What was the name of Telemann's first wife? Amalie Louise Juliane Eberlin,"(1, 2)",2
