,question,answer,section,level,celebrity
235,"Poitier faced significant challenges in his early life, including ___ and racial discrimination.",poverty,Early Life,hard,Sidney Poitier
236,"Sidney Poitier became one of the first Black actors to gain widespread acclaim in Hollywood, starring in films like ___ and ___.","Guess Who's Coming to Dinner, To Sir, With Love",Career,hard,Sidney Poitier
237,"Spencer Tracy was born on ___ in Milwaukee, Wisconsin.","April 5, 1900",Basic Info,easy,Spencer Tracy
238,Spencer Tracy married ___ in 1923.,Louise Treadwell,Early Life,easy,Spencer Tracy
239,"Tracy and Treadwell had two children, a son named ___ and a daughter named ___.","John, Louise",Early Life,medium,Spencer Tracy
240,Spencer Tracy won his first Academy Award for Best Actor for his role in ___ (1937).,Captains Courageous,Career,easy,Spencer Tracy
241,Tracy's notable collaborations included working with ___ on nine films.,Katharine Hepburn,Career,easy,Spencer Tracy
242,Spencer Tracy struggled with ___ throughout his career.,alcoholism,Recognitions,easy,Spencer Tracy
243,Tracy received ___ Academy Awards for Best Actor during his career.,two,Recognitions,easy,Spencer Tracy
244,"Spencer Tracy's legacy includes his impact on film acting and his role in socially relevant movies addressing issues of ___, ___, and ___.","race, class, morality",Legacy,hard,Spencer Tracy
245,Tracy's partnership with Katharine Hepburn is celebrated for its influence on ___ and ___.,"actors, filmmakers",Legacy,medium,Spencer Tracy
246,"Spencer Tracy passed away on ___, 1967.",June 10,Recognitions,easy,Spencer Tracy
247,"Henry Fonda was born on ___ in Grand Island, Nebraska.","May 16, 1905",Basic Info,easy,Henry Fonda
248,Fonda's parents were William Brace Fonda and ___ Fonda.,Herberta (née Knapp),Early Life,medium,Henry Fonda
249,"Henry Fonda was married five times, including to Frances Ford Seymour and ___ Sullavan.",Margaret,Early Life,medium,Henry Fonda
250,Fonda starred in classic films such as 'The Grapes of Wrath' and ___ '12 Angry Men'.,and,Career,easy,Henry Fonda
251,Henry Fonda collaborated with filmmakers like John Ford and ___ Lumet.,Sidney,Career,medium,Henry Fonda
252,Fonda received an Academy Award for Best Actor for his role in ___ Golden Pond.,On,Recognitions,easy,Henry Fonda
253,Henry Fonda was inducted into the ___ Theatre Hall of Fame.,American,Recognitions,easy,Henry Fonda
254,Fonda is remembered for his portrayals of everyday heroes and ___ characters.,complex,Legacy,medium,Henry Fonda
255,Henry Fonda's legacy influenced future generations of actors and ___ filmmakers.,filmmakers,Legacy,easy,Henry Fonda
256,"Fonda's children, ___ Fonda and Peter Fonda, continued his legacy in the entertainment industry.",Jane,Legacy,medium,Henry Fonda
257,"Clark Gable was born on ___ in Cadiz, Ohio.","February 1, 1901",Basic Info,easy,Clark Gable
258,Gable's iconic role was as ___ in 'Gone with the Wind.',Rhett Butler,Basic Info,easy,Clark Gable
259,Gable was married to Carol Lombard from ___ to ___ before her death.,"1939, 1942",Early Life,medium,Clark Gable
260,Gable's first Oscar for Best Actor was awarded in ___ and he was named the 'King of Hollywood.',1935,Recognitions,easy,Clark Gable
261,Gable collaborated frequently with directors like ___ and co-starred with actresses such as ___ and Vivien Leigh.,"Frank Capra, Joan Crawford",Career,medium,Clark Gable
262,Gable had one daughter named ___.,Judy Lewis,Early Life,easy,Clark Gable
263,Gable served in the ___ during World War II.,U.S. Army Air Forces,Recognitions,easy,Clark Gable
264,Gable's marriage to ___ was highly publicized and her tragic death greatly affected him.,Carol Lombard,Recognitions,medium,Clark Gable
265,Gable's films continue to be celebrated for their impact on ___ cinema.,American,Legacy,easy,Clark Gable
266,Gable supported his family from a young age and pursued acting after ___ school.,high,Early Life,easy,Clark Gable
267,"Humphrey Bogart was born on ___ in New York City, New York.","December 25, 1899",Basic Info,easy,Humphrey Bogart
268,"Bogart was married four times, with his most notable marriage being to ___ in 1945.",Lauren Bacall,Early Life,easy,Humphrey Bogart
269,Bogart had two children: a daughter named ___ and a son named ___ with Bacall.,"Susan, Stephen",Early Life,medium,Humphrey Bogart
270,"Some of Bogart's most iconic films include 'The Maltese Falcon' (___), 'Casablanca' (___), and 'The African Queen' (___).","1941, 1942, 1951",Career,hard,Humphrey Bogart
271,Bogart received an Academy Award for Best Actor for his role in '___'.,The African Queen,Recognitions,easy,Humphrey Bogart
272,Humphrey Bogart passed away on ___ due to esophageal cancer.,"January 14, 1957",Recognitions,easy,Humphrey Bogart
273,"Bogart's influence extends to modern actors and filmmakers, and he is often cited as one of the greatest ___ of all time.",film stars,Legacy,easy,Humphrey Bogart
274,Bogart's portrayal of complex characters helped to redefine ___ in American film.,masculinity,Legacy,medium,Humphrey Bogart
275,"Bogart's early life was marked by a privileged upbringing despite some tumultuous family dynamics, and he left school to join the ___ during World War I.",U.S. Navy,Early Life,hard,Humphrey Bogart
276,His collaborations with directors such as ___ and his partnership with Lauren Bacall led to numerous classic films.,John Huston,Career,medium,Humphrey Bogart
277,"Gary Cooper was born in ___, Montana, on May 7, 1901.",Helena,Basic Info,easy,Gary Cooper
278,"Cooper's father, ___ Cooperman, was a pioneer who moved to Montana.",Charles,Early Life,easy,Gary Cooper
279,Gary Cooper married actress ___ Balfe in 1933.,Veronica,Early Life,easy,Gary Cooper
280,Cooper received two Academy Awards for Best Actor for his performances in ___ and ___.,"Sergeant York, High Noon",Recognitions,medium,Gary Cooper
281,Gary Cooper collaborated with directors such as ___ and ___.,"Frank Capra, Howard Hawks",Career,medium,Gary Cooper
282,"His performances were characterized by ___ and a quiet intensity, influencing future generations of actors.",naturalism,Legacy,hard,Gary Cooper
283,"Cooper had one sibling, a younger sister named ___.",Gloria,Early Life,easy,Gary Cooper
284,Gary Cooper's film career was marked by critical acclaim and ___ success.,box office,Recognitions,medium,Gary Cooper
285,"Cooper's portrayal of complex, principled characters helped establish archetypes in the ___ and ___ genres.","Western, drama",Legacy,hard,Gary Cooper
286,Gary Cooper studied art at the ___ in New York.,Art Students League,Early Life,medium,Gary Cooper
287,"Charlton Heston was born on ___ in Evanston, Illinois.","October 4, 1923",Basic Info,easy,Charlton Heston
288,Heston was married to ___ from 1944 until her death in 2018.,Lydia Clarke,Early Life,easy,Charlton Heston
289,Charlton Heston graduated from ___ High School.,New Trier,Early Life,easy,Charlton Heston
290,"Heston's notable films include 'The Ten Commandments', 'Ben-Hur', and ___ .",Planet of the Apes,Career,easy,Charlton Heston
291,Heston earned an Academy Award for Best Actor for his role in ___ .,Ben-Hur,Career,easy,Charlton Heston
292,"Beyond acting, Heston was known for his advocacy for ___ and ___ rights.","civil, gun",Recognitions,medium,Charlton Heston
293,Charlton Heston served as president of the ___ and later as president of the National Rifle Association.,Screen Actors Guild,Recognitions,medium,Charlton Heston
294,Heston received the Lifetime Achievement Award from the ___ .,American Film Institute,Recognitions,medium,Charlton Heston
295,Charlton Heston's legacy is significant in film history for his portrayals of ___ characters in epic dramas.,heroic,Legacy,easy,Charlton Heston
296,Heston is remembered for his contributions to cinema and his strong public presence in the ___ arena.,political,Legacy,easy,Charlton Heston
297,"Charlton Heston was born to Lilla and Russell Whitford Heston, who was an amateur actor and a ___ .",business executive,Early Life,medium,Charlton Heston
298,"During World War II, Heston served in the ___ .",U.S. Army Air Forces,Early Life,medium,Charlton Heston
299,"Heston frequently collaborated with prominent directors and actors, establishing himself as a ___ leading man.",versatile,Career,medium,Charlton Heston
300,Heston's life and career inspire discussions about the intersection of ___ and activism.,art,Legacy,hard,Charlton Heston
301,Heston had one sister named ___ .,Frances Heston,Early Life,hard,Charlton Heston
302,"Charlton Heston's contributions to cinema and activism earned him numerous awards, including the ___ .",Lifetime Achievement Award,Recognitions,hard,Charlton Heston
303,"Burt Lancaster was born on ___ in Manhattan, New York City.","November 2, 1913",Basic Info,easy,Burt Lancaster
304,"Burt Lancaster was married twice, first to ___ in 1946.",Jimena Hernando,Early Life,easy,Burt Lancaster
305,Burt Lancaster received an Academy Award nomination for his role in ___ (1953).,From Here to Eternity,Career,medium,Burt Lancaster
306,Burt Lancaster won the Academy Award for Best Actor for his performance in ___ (1960).,Elmer Gantry,Career,medium,Burt Lancaster
307,"Lancaster was known for his activism, including efforts related to ___ and nuclear disarmament.",civil rights,Recognitions,hard,Burt Lancaster
308,"Burt Lancaster had three children: Bill, Joan, and a son named ___ after his daughter.",Lancaster's 'love child',Early Life,hard,Burt Lancaster
309,"Burt Lancaster's production company, ___, produced many significant films.",Hecht-Hill-Lancaster,Career,medium,Burt Lancaster
310,Lancaster was nominated for ___ Academy Awards and won one.,four,Recognitions,easy,Burt Lancaster
311,Burt Lancaster attended ___ High School and later studied at New York University.,DeWitt Clinton,Early Life,medium,Burt Lancaster
312,"Burt Lancaster remains a celebrated figure in cinema history, known for his ___ performances and physical prowess.",charismatic,Legacy,hard,Burt Lancaster
313,"Kirk Douglas was born in ___, New York, on December 9, 1916.",Amsterdam,Basic Info,easy,Kirk Douglas
314,"Kirk Douglas's father, ___, was a Russian Jewish immigrant.",Herschel Danielovitch,Early Life,easy,Kirk Douglas
315,Kirk Douglas was married to ___ from 1954 until his death.,Anne Buydens,Early Life,easy,Kirk Douglas
316,"Kirk Douglas starred in the classic film ___, which he also helped to release from historical confines.",Spartacus,Recognitions,medium,Kirk Douglas
317,Kirk Douglas received an honorary Oscar in ___ for his lifetime achievements.,1996,Career,easy,Kirk Douglas
318,"Kirk Douglas had four sons: Michael Douglas, ___, Peter Douglas, and Eric Douglas.",Joel Douglas,Early Life,medium,Kirk Douglas
319,Kirk Douglas collaborated with directors such as ___ and Vincent Minnelli.,Stanley Kubrick,Career,medium,Kirk Douglas
320,Kirk Douglas was a key figure during the Hollywood ___ era.,blacklist,Recognitions,hard,Kirk Douglas
321,"Kirk Douglas passed away on February 5, 2020, at the age of ___.",103,Legacy,easy,Kirk Douglas
322,"Kirk Douglas's son, ___, continued the family legacy in Hollywood.",Michael Douglas,Legacy,easy,Kirk Douglas
323,"Peter O'Toole was born in ___, England, on August 2, 1932.",Leeds,Basic Info,easy,Peter O'Toole
324,Peter O'Toole's father was a ___ trainer.,racehorse,Early Life,easy,Peter O'Toole
325,Peter O'Toole was married to actress ___ from 1959 to 1979.,Sian Phillips,Early Life,easy,Peter O'Toole
326,O'Toole gained global fame with his role as ___ in 'Lawrence of Arabia'.,T.E. Lawrence,Career,easy,Peter O'Toole
327,Peter O'Toole received ___ Academy Award nominations over his career.,eight,Recognitions,easy,Peter O'Toole
328,"O'Toole had a total of ___ children, including daughters Kate and Patricia.",three,Early Life,medium,Peter O'Toole
329,O'Toole starred in 'Becket' (___) and 'The Lion in Winter' (___).,"1964, 1968",Career,medium,Peter O'Toole
330,Peter O'Toole was awarded an honorary Oscar in ___ for his lifetime achievement in film.,2003,Recognitions,medium,Peter O'Toole
331,O'Toole attended the Royal Academy of Dramatic Art (___) in London.,RADA,Early Life,medium,Peter O'Toole
332,Peter O'Toole is remembered for his unique blend of ___ and depth.,charm,Legacy,hard,Peter O'Toole
333,"O'Toole collaborated with many notable directors and actors, showcasing his ___ and charisma on screen.",versatility,Career,hard,Peter O'Toole
334,O'Toole's performances earned him numerous BAFTA Awards and a ___ Globe.,Golden,Recognitions,hard,Peter O'Toole
335,"Richard Burton was born on ___ in Pontrhydyfen, Neath Port Talbot, Wales.","November 10, 1925",Basic Info,easy,Richard Burton
336,"Burton was married ___ times, with his most notable marriage being to actress ___ ___.","five, Elizabeth Taylor",Early Life,medium,Richard Burton
337,Burton received two Academy Award nominations for ___ and ___.,"My Cousin Rachel, Who's Afraid of Virginia Woolf?",Career,medium,Richard Burton
338,Burton is particularly remembered for his stage work in ___ and ___.,"Hamlet, Equus",Recognitions,medium,Richard Burton
339,"Richard Burton struggled with ___ and had tumultuous relationships, particularly with ___ ___.","alcoholism, Elizabeth Taylor",Legacy,hard,Richard Burton
340,"James Cagney was born on ___ in New York City, New York.","July 17, 1899",Basic Info,easy,James Cagney
341,"Cagney had a total of ___ siblings, including a brother named William.",5,Early Life,easy,James Cagney
342,James Cagney married ___ in 1922.,Frances (née McGowan) Cagney,Early Life,medium,James Cagney
343,Cagney's notable films include 'The Public Enemy' (___) and 'Angels with Dirty Faces' (___).,"1931, 1938",Career,medium,James Cagney
344,James Cagney received an Academy Award for Best Actor for his role in '___' (1942).,Yankee Doodle Dandy,Recognitions,easy,James Cagney
345,Cagney was recognized with a star on the Hollywood Walk of Fame and received an honorary Oscar in ___.,1974,Recognitions,medium,James Cagney
346,"Cagney is known for his distinct style in the gangster genre and musical films, often referred to as the '___ style.'",Cagney,Legacy,hard,James Cagney
347,James Cagney's influence continues to inspire future generations of actors through his ___ and charismatic performances.,explosive energy,Legacy,hard,James Cagney
348,"Cagney collaborated with notable filmmakers and actors, including ___ and ___ in several successful films.","Warner Bros., Edward G. Robinson",Career,hard,James Cagney
349,"Orson Welles was born on ___ in Kenosha, Wisconsin.","May 6, 1915",Basic Info,easy,Orson Welles
350,Welles had a younger sister named ___.,Elizabeth,Early Life,easy,Orson Welles
351,"Orson Welles married ___ in 1934, but the marriage ended in divorce in 1939.",Virginia Nicolson,Early Life,medium,Orson Welles
352,"Welles is best known for his groundbreaking film ___, which was released in 1941.",Citizen Kane,Career,easy,Orson Welles
353,The infamous 1938 broadcast of ___ caused a national panic.,War of the Worlds,Recognitions,medium,Orson Welles
354,Orson Welles received an Academy Award for Best Original Screenplay for ___.,Citizen Kane,Recognitions,medium,Orson Welles
355,"Welles married ___ in 1955, with whom he remained until his death.",Paola Mori,Early Life,hard,Orson Welles
356,Welles collaborated with screenwriter ___ on 'Citizen Kane'.,Herman J. Mankiewicz,Career,hard,Orson Welles
357,Orson Welles' innovative use of narrative structure and cinematography continues to influence ___ cinema.,modern,Legacy,medium,Orson Welles
358,Welles was recognized with a star on the Hollywood Walk of Fame in ___ for his contributions to the film industry.,1960,Recognitions,easy,Orson Welles
359,"Robert Redford was born in ___, California, on August 18, 1936.",Santa Monica,Basic Info,easy,Robert Redford
360,Robert Redford was married to ___ from 1958 until their divorce in 1985.,Lola Van Wagenen,Early Life,easy,Robert Redford
361,"Robert Redford has four children: Scott, Shauna, and twins, ___ and ___.","Jamie, Conor",Early Life,medium,Robert Redford
362,Robert Redford gained prominence in the 1960s with films such as '___' and '___'.,"Butch Cassidy and the Sundance Kid, The Sting",Career,medium,Robert Redford
363,"Robert Redford co-founded the ___ Institute, which supports independent filmmakers.",Sundance,Career,easy,Robert Redford
364,Robert Redford received the Kennedy Center Honors in ___ and the Golden Lion at the Venice Film Festival in ___.,"2005, 2018",Recognitions,medium,Robert Redford
365,Robert Redford is regarded as a pioneer in promoting ___ filmmaking.,independent,Legacy,easy,Robert Redford
366,The Sundance Film Festival is one of the most prestigious platforms for ___ films.,independent,Legacy,easy,Robert Redford
367,Robert Redford has been a vocal advocate for ___ issues and has participated in various philanthropic efforts.,environmental,Recognitions,hard,Robert Redford
368,"Robert Redford's contributions to the arts, coupled with his advocacy for social and ___ causes, have solidified his legacy.",environmental,Legacy,hard,Robert Redford
369,"Warren Beatty was born on ___ in Richmond, Virginia.","March 30, 1937",Basic Info,easy,Warren Beatty
370,"Warren Beatty's sister, ___, is also a prominent actress and author.",Shirley MacLaine,Early Life,easy,Warren Beatty
371,Warren Beatty co-produced and starred in the film ___ (1967).,Bonnie and Clyde,Career,medium,Warren Beatty
372,Warren Beatty received the Best Director Academy Award for ___ (1981).,Reds,Recognitions,medium,Warren Beatty
373,Warren Beatty's legacy is characterized by his ability to blend ___ with commercial success.,artistic vision,Legacy,hard,Warren Beatty
374,Warren Beatty was married to actress ___ in 1992.,Annette Bening,Early Life,easy,Warren Beatty
375,"Warren Beatty has four children: Stephen, Benjamin, ___, and ___.","Isabel, Ella",Early Life,medium,Warren Beatty
376,Warren Beatty's notable collaborations include working with ___ and ___.,"George Lucas, Dustin Hoffman",Career,hard,Warren Beatty
377,Warren Beatty was awarded an Honorary Academy Award in ___ for his lifetime achievements in film.,2007,Recognitions,easy,Warren Beatty
378,Warren Beatty's performance in ___ (1975) is considered legendary.,Shampoo,Recognitions,medium,Warren Beatty
379,"Clint Eastwood was born on ___ in San Francisco, California.","May 31, 1930",Basic Info,easy,Clint Eastwood
380,Clint Eastwood's first wife was ___ and they were married from 1953 to 1984.,Maggie Johnson,Early Life,easy,Clint Eastwood
381,"Clint Eastwood has ___ children, including Kimber Eastwood and Kyle Eastwood.",eight,Early Life,medium,Clint Eastwood
382,"Clint Eastwood rose to fame in the 1960s with Italian Westerns directed by ___, including 'A Fistful of Dollars'.",Sergio Leone,Career,easy,Clint Eastwood
383,Clint Eastwood won Academy Awards for ___ and ___ as a director.,"Unforgiven, Million Dollar Baby",Career,medium,Clint Eastwood
384,Clint Eastwood has received ___ Academy Awards and a ___ Center Honor.,"four, Kennedy",Recognitions,hard,Clint Eastwood
385,Clint Eastwood's legacy includes shaping the ___ genre and redefining the archetypal masculine hero.,Western,Legacy,easy,Clint Eastwood
386,Clint Eastwood's influence on Hollywood spans over ___ decades.,six,Legacy,easy,Clint Eastwood
387,Clint Eastwood's long-standing partnership with composer ___ stands out in film history.,Ennio Morricone,Career,medium,Clint Eastwood
388,"Clint Eastwood served in the ___ during the Korean War, which influenced his views and relationships.",U.S. Army,Early Life,hard,Clint Eastwood
389,"Mel Gibson was born on ___ in Peekskill, New York, USA.","January 3, 1956",Basic Info,easy,Mel Gibson
390,"Mel Gibson is the son of Hutton Gibson, a World War II veteran, and ___ Gibson, an Irish immigrant.",Anne Patricia (née Reilly),Early Life,medium,Mel Gibson
391,Gibson was married to ___ from 1980 until their divorce in 2011.,Robyn Moore,Early Life,easy,Mel Gibson
392,"Mel Gibson has a total of ___ children, including three with Rosalind Ross.",nine,Early Life,easy,Mel Gibson
393,Gibson's family moved to ___ when he was 12.,"Sydney, Australia",Early Life,medium,Mel Gibson
394,Mel Gibson rose to fame in the ___ and ___ with his roles in the 'Mad Max' series and the 'Lethal Weapon' franchise.,"1970s, 1980s",Career,medium,Mel Gibson
395,"Gibson gained critical acclaim for '___' (1995), which won five Academy Awards.",Braveheart,Career,easy,Mel Gibson
396,He collaborated with Jodie Foster in '___' (2011) and Leonardo DiCaprio in '___' (2016).,"The Beaver, Blood Father",Career,hard,Mel Gibson
397,"Gibson's directorial work, particularly '___' (2004), garnered significant box office success but faced criticism.",Passion of the Christ,Recognitions,medium,Mel Gibson
398,"Mel Gibson has received several award nominations and wins, including ___ and BAFTA nominations.",Golden Globe Awards,Recognitions,medium,Mel Gibson
399,"Despite his personal struggles, Mel Gibson remains a complex figure in the film industry, celebrated for his contributions to ___ while being scrutinized for his public behavior.",cinema,Legacy,medium,Mel Gibson
400,'Braveheart' is often regarded as a modern classic in ___ and has influenced a generation of filmmakers.,filmmaking,Legacy,medium,Mel Gibson
401,"Mel Gibson continues to be a relevant figure in Hollywood, with ongoing projects and continued interest in his body of ___.",work,Legacy,easy,Mel Gibson
402,"Tom Cruise was born on ___ in Syracuse, New York.","July 3, 1962",Basic Info,easy,Tom Cruise
403,"Tom Cruise has ___ sisters named Lee Anne, Marian, and Cass.",three,Early Life,easy,Tom Cruise
404,Tom Cruise was married to ___ from 1987 to 1990.,Mimi Rogers,Early Life,medium,Tom Cruise
405,Tom Cruise achieved fame with the film ___ released in 1986.,Top Gun,Career,easy,Tom Cruise
406,Tom Cruise has received ___ Golden Globe Awards throughout his career.,three,Recognitions,easy,Tom Cruise
407,Tom Cruise's production company is called ___ Productions.,Cruise/Wagner,Legacy,medium,Tom Cruise
408,Tom Cruise struggled with ___ but found solace in acting during high school.,dyslexia,Early Life,medium,Tom Cruise
409,Tom Cruise starred in the film ___ (1996) which is known for the quote 'Show me the money!'.,Jerry Maguire,Career,medium,Tom Cruise
410,"Tom Cruise has three children: Isabella Jane, Connor Antony, and ___ Cruise.",Suri,Early Life,easy,Tom Cruise
411,Tom Cruise is known for performing many of his own ___ in his films.,stunts,Legacy,easy,Tom Cruise
412,"Harrison Ford was born on ___ in Chicago, Illinois.","July 13, 1942",Basic Info,easy,Harrison Ford
413,"Harrison Ford has been married three times, including to ___ and ___.","Mary Marquardt, Melissa Mathison",Early Life,medium,Harrison Ford
414,Harrison Ford is known for his roles as ___ in 'Star Wars' and ___ in 'Raiders of the Lost Ark.',"Han Solo, Indiana Jones",Career,medium,Harrison Ford
415,Harrison Ford received the AFI Life Achievement Award in ___ and has a star on the ___ in Hollywood.,"2000, Walk of Fame",Recognitions,hard,Harrison Ford
416,"Harrison Ford's legacy is defined by his ___ performances, memorable ___, and box office ___ .","charismatic, characters, success",Legacy,hard,Harrison Ford
417,"Kevin Spacey was born in ___, New Jersey, on July 26, 1959.",South Orange,Basic Info,easy,Kevin Spacey
418,"Kevin Spacey's parents are Thomas Geoffrey Spacey, a ___, and Kathleen Ann Spacey, a ___.","technical writer, secretary",Early Life,medium,Kevin Spacey
419,Kevin Spacey attended the ___ Academy and later studied at the ___ School.,"Newark, Juilliard",Early Life,medium,Kevin Spacey
420,Kevin Spacey won an Academy Award for Best Actor for his role in ___ (1999).,American Beauty,Career,easy,Kevin Spacey
421,Kevin Spacey collaborated with director David Fincher on the film ___ (1995) and starred alongside actors like ___ and ___.,"Se7en, Morgan Freeman, Annette Bening",Career,hard,Kevin Spacey
422,"Kevin Spacey has received two Academy Awards, a ___ Award for his performance in 'Lost in Yonkers,' and multiple Screen Actors Guild Awards.",Tony,Recognitions,medium,Kevin Spacey
423,"In 2017, Kevin Spacey faced significant challenges due to allegations of ___ misconduct.",sexual,Recognitions,easy,Kevin Spacey
424,"Kevin Spacey's legacy is considered complex due to his outstanding contributions to film and theatre, but also because of the allegations that have ___ his work.",overshadowed,Legacy,medium,Kevin Spacey
425,Kevin Spacey's fall from grace serves as a cautionary tale about the consequences of personal actions in the ___ eye.,public,Legacy,easy,Kevin Spacey
426,"Russell Crowe was born on ___ in ___, New Zealand.","April 7, 1964; Wellington",Basic Info,medium,Russell Crowe
427,"Russell Crowe's mother, ___, worked as a ___ and his father, ___, was a ___ and later a film set caterer.",Alexandra Crowe; film set caterer; John Crowe; hotel manager,Early Life,hard,Russell Crowe
428,"Russell Crowe gained international fame after starring in ___ (2000), for which he won an ___ for Best Actor.",Gladiator; Academy Award,Career,medium,Russell Crowe
429,"In 2016, Russell Crowe was appointed a member of the ___ for his contribution to the arts.",Order of Australia,Recognitions,easy,Russell Crowe
430,"Russell Crowe is known for his roles in films like ___ (2010), ___ (2012), and ___ (2014).",Robin Hood; Les Misérables; Noah,Career,hard,Russell Crowe
431,"Russell Crowe's family moved to ___, ___, when he was four years old.",Sydney; Australia,Early Life,easy,Russell Crowe
432,"Russell Crowe has collaborated with directors such as ___, ___, and ___.",Ridley Scott; Peter Weir; Ron Howard,Career,medium,Russell Crowe
433,Russell Crowe has received ___ Golden Globe Awards and a ___ Award.,three; BAFTA,Recognitions,medium,Russell Crowe
434,Russell Crowe is recognized for his intense character portrayals and his impact on ___ history.,cinematic,Legacy,easy,Russell Crowe
435,Russell Crowe has two sons named ___ and ___.,Charles Spencer Crowe; Tennyson Spencer Crowe,Early Life,medium,Russell Crowe
436,"Jeff Bridges was born on ___ in Los Angeles, California.","December 4, 1949",Basic Info,easy,Jeff Bridges
437,Jeff Bridges has been married to ___ since 1977.,Susan Geston,Early Life,easy,Jeff Bridges
438,"Jeff Bridges' father is ___, a well-known actor.",Lloyd Bridges,Early Life,easy,Jeff Bridges
439,Jeff Bridges gained prominence in the late ___ after making his professional acting debut in the 1950s.,1960s,Career,easy,Jeff Bridges
440,"In 2009, Jeff Bridges won an Academy Award for Best Actor for his role in ___ .",Crazy Heart,Career,easy,Jeff Bridges
441,"Jeff Bridges has three daughters named ___, ___, and ___.","Isabelle, Jessica, Hayley",Early Life,medium,Jeff Bridges
442,"Jeff Bridges collaborated with directors like the Coen Brothers, Martin Scorsese, and ___ .",Gus Van Sant,Career,medium,Jeff Bridges
443,Bridges is recognized for his work as a musician and has released several ___ .,albums,Recognitions,medium,Jeff Bridges
444,"Jeff Bridges is known for his diverse roles, particularly as ___ from 'The Big Lebowski.'",The Dude,Legacy,medium,Jeff Bridges
445,Jeff Bridges has been honored with a star on the ___ for his contributions to film and music.,Hollywood Walk of Fame,Recognitions,medium,Jeff Bridges
446,Jeff Bridges grew up in a showbiz family and attended ___ to pursue a degree in theatre arts.,"the University of California, Los Angeles (UCLA)",Early Life,hard,Jeff Bridges
447,"Bridges has received multiple accolades, including an Academy Award and ___ Awards.",Golden Globe,Recognitions,hard,Jeff Bridges
448,"Jeff Bridges is considered one of the finest actors of his generation, known for his commitment to his craft and his philanthropic efforts, including work with ___ campaign.",No Kid Hungry,Legacy,hard,Jeff Bridges
449,"Jeff Bridges' notable films include 'The Last Picture Show' (1971), 'Starman' (1984), and ___ (1998).",The Big Lebowski,Career,hard,Jeff Bridges
450,Jeff Bridges has a brother named ___ and a sister named ___.,"Beau Bridges, Lucinda Bridges",Early Life,hard,Jeff Bridges
451,"George Clooney was born on ___ in Lexington, Kentucky.","May 6, 1961",Basic Info,easy,George Clooney
452,George Clooney's parents are Nick Clooney and ___ Bruce.,Nina,Early Life,easy,George Clooney
453,George Clooney has one sister named ___.,Adelia Clooney,Early Life,easy,George Clooney
454,Clooney rose to fame in the 1990s with his role as Dr. Doug Ross on ___ series 'ER.',television,Career,medium,George Clooney
455,Clooney has collaborated frequently with actors such as ___ and ___ in the 'Ocean's' franchise.,"Brad Pitt, Matt Damon",Career,medium,George Clooney
456,George Clooney co-founded the organization ___ to focus global attention on human rights atrocities.,Not On Our Watch,Recognitions,medium,George Clooney
457,"Clooney has received two Academy Awards, one for ___ and another for ___.","acting, producing",Recognitions,hard,George Clooney
458,"Clooney is recognized for his contributions to film and television, as well as for his activism and philanthropy, particularly in advocating for ___ and global humanitarian efforts.",social justice,Legacy,hard,George Clooney
459,"Clooney's notable film performances include 'Ocean's Eleven,' 'Syriana,' and ___.",The Descendants,Career,hard,George Clooney
460,"George Clooney's spouse is ___, a renowned human rights lawyer.",Amal Clooney,Early Life,easy,George Clooney
461,"Matt Damon was born on ___ in Cambridge, Massachusetts.","October 8, 1970",Basic Info,easy,Matt Damon
462,"Matt Damon's mother, Nancy Carlsson-Paige, is a professor of ___ at Lesley University.",early childhood education,Early Life,easy,Matt Damon
463,"Matt Damon has three daughters named Isabella, ___, and Stella.",Gia,Early Life,medium,Matt Damon
464,"Damon co-wrote the screenplay for ___, which won him an Academy Award.",Good Will Hunting,Early Life,easy,Matt Damon
465,"Matt Damon rose to fame with films such as 'Good Will Hunting,' 'Saving Private Ryan,' and the ___ series.",Bourne,Career,easy,Matt Damon
466,"Damon frequently collaborates with ___, with whom he has maintained a close friendship since childhood.",Ben Affleck,Career,medium,Matt Damon
467,"Matt Damon has received numerous accolades including Academy Awards, ___ Awards, and BAFTA nominations.",Golden Globe,Recognitions,medium,Matt Damon
468,"Damon is recognized for his humanitarian efforts, including work with ___ to provide access to safe water.",water.org,Recognitions,hard,Matt Damon
469,"Matt Damon's legacy is marked by his ability to evolve as an artist, balancing commercial success with ___ roles.",critically acclaimed,Legacy,medium,Matt Damon
470,His impact on cinema is characterized by memorable performances and a selection of ___ roles that resonate with audiences worldwide.,diverse,Legacy,hard,Matt Damon
471,"Will Smith was born on ___ in Philadelphia, Pennsylvania.","September 25, 1968",Basic Info,easy,Will Smith
472,Will Smith's mother is ___ and his father was a refrigeration engineer.,Caroline Smith,Early Life,easy,Will Smith
473,Will Smith has a younger brother named ___.,Harry,Early Life,easy,Will Smith
474,Will Smith starred in the television series ___ from 1990 to 1996.,The Fresh Prince of Bel-Air,Career,easy,Will Smith
475,Will Smith won the Academy Award for Best Actor for his role in ___ in 2022.,King Richard,Recognitions,easy,Will Smith
476,Will Smith is known for his collaborations with directors like ___ and ___ as well as actors such as Martin Lawrence.,"Michael Mann, David Frankel",Career,medium,Will Smith
477,"Will Smith has three children: Trey Smith, ___, and ___.","Jaden Smith, Willow Smith",Early Life,medium,Will Smith
